away,date,home,lin_regr_away,lin_regr_home,plac_away,plac_home,result
NOP,2310,TOR,,,3.3,1.43,0.0
LAL,2310,LAC,,,1.66,2.53,0.0
CHI,2410,CHA,,,1.67,2.51,0.0
DET,2410,IND,,,3.58,1.37,1.0
CLE,2410,ORL,,,4.29,1.29,0.0
BOS,2410,PHI,,,2.95,761.52,0.0
MIN,2410,BKN,,,2.53,1.66,1.0
MEM,2410,MIA,,,4.02,1.32,0.0
NYK,2410,SAS,,,4.87,1.23,0.0
WAS,2410,DAL,,,4.29,1.29,0.0
OKC,2410,UTA,,,4.42,1.28,0.0
SAC,2410,PHX,,,2.11,1.93,0.0
DEN,2410,POR,,,2.08,1.95,1.0
ATL,2510,DET,,,2.19,1.86,0
MIL,2510,HOU,,,2.25,1.81,1
LAC,2510,GSW,,,1.82,2.23,1
