home,away,date,linear
DET,BKN,11/02/2019,[0.45143554]
GSW,CHA,11/02/2019,[0.26474354]
MEM,PHX,11/02/2019,[0.27501067]
MIL,TOR,11/02/2019,[0.36913251]
OKC,NOP,11/02/2019,[0.2202601]
ORL,DEN,11/02/2019,[0.36117456]
POR,PHI,11/02/2019,[0.41650549]
WAS,MIN,11/02/2019,[0.33497857]
CLE,DAL,11/03/2019,[0.66930814]
IND,CHI,11/03/2019,[0.30856936]
LAC,UTA,11/03/2019,[0.53681551]
MIA,HOU,11/03/2019,[0.57350144]
NYK,SAC,11/03/2019,[0.58757471]
SAS,LAL,11/03/2019,[0.27313358]
BKN,NOP,11/04/2019,[0.30840581]
GSW,POR,11/04/2019,[0.38752363]
MEM,HOU,11/04/2019,[0.67040851]
MIN,MIL,11/04/2019,[0.62446241]
PHX,PHI,11/04/2019,[0.50673127]
WAS,DET,11/04/2019,[0.41716811]
ATL,SAS,11/05/2019,[0.48014869]
CHA,IND,11/05/2019,[0.36981406]
CHI,LAL,11/05/2019,[0.67013622]
CLE,BOS,11/05/2019,[0.64427195]
DEN,MIA,11/05/2019,[0.3583812]
OKC,ORL,11/05/2019,[0.50089063]
ATL,CHI,11/06/2019,[0.26862758]
DAL,ORL,11/06/2019,[0.35773403]
DET,NYK,11/06/2019,[0.35302127]
HOU,GSW,11/06/2019,[0.26473003]
IND,WAS,11/06/2019,[0.42862713]
LAC,MIL,11/06/2019,[0.55276929]
MEM,MIN,11/06/2019,[0.29774233]
TOR,SAC,11/06/2019,[0.22790263]
UTA,PHI,11/06/2019,[0.26345211]
CHA,BOS,11/07/2019,[0.49632421]
LAC,POR,11/07/2019,[0.39302595]
PHX,MIA,11/07/2019,[0.51542299]
SAS,OKC,11/07/2019,[0.40436763]
ATL,SAC,11/08/2019,[0.42487931]
DAL,NYK,11/08/2019,[0.1356632]
DEN,PHI,11/08/2019,[0.39448591]
IND,DET,11/08/2019,[0.34518176]
LAL,MIA,11/08/2019,[0.36720845]
MIN,GSW,11/08/2019,[0.43638584]
NOP,TOR,11/08/2019,[0.72972203]
ORL,MEM,11/08/2019,[0.36469272]
POR,BKN,11/08/2019,[0.4379156]
UTA,MIL,11/08/2019,[0.53525415]
WAS,CLE,11/08/2019,[0.3584554]
CHA,NOP,11/09/2019,[0.2493754]
CHI,HOU,11/09/2019,[0.63398248]
MEM,DAL,11/09/2019,[0.61725993]
